id,status,x,y
1,Status.InterDis,0,0
2,Status.InterDis,2.0344751505421996,4.789304475039034
3,Status.InterDis,4.072097933750405,-1.2446158155239677
4,Status.InterDis,1.4781799536785973,-3.527006348589544
5,Status.InterDis,0.10507810411552643,-3.329610124539613
6,Status.InterDis,4.900248971883578,-2.728204026608307
7,Status.InterDis,4.597591041510542,-0.35791615577423735
8,Status.InterDis,1.5823370910402486,-5.022945115690134
9,Status.InterDis,3.702941025325714,-1.7828221253641698
10,Status.InterDis,4.643711126959042,-1.035961474080092
11,Status.InterDis,2.8532414642385957,5.318553213029553
12,Status.InterDis,3.7751501442840913,-3.3997584921681425
13,Status.InterDis,0.9711907224000736,5.375211280531585
14,Status.InterDis,5.9039104475246775,-0.45291900400392043
15,Status.InterDis,2.6301994681824374,-5.115346263415099
16,Status.InterDis,2.5957634512058196,-3.812315427340921
17,Status.InterDis,2.563788280855194,3.666826341550702
18,Status.InterDis,3.5659079407445526,-2.1866337062961096
19,Status.InterDis,0.5248251963051298,-3.8987487908442917
20,Status.InterDis,4.025248820995273,-0.1641970232304587
21,Status.InterDis,0.30758331978476755,-2.613777876543479
22,Status.InterDis,1.8650117179819337,3.4416070239577303
23,Status.InterDis,4.586453719638415,0.9476292275626325
24,Status.InterDis,1.0325132704184075,-4.660391517675311
25,Status.InterDis,1.5486209965282478,3.9591635139585213
26,Status.InterDis,3.7261090037772613,0.9216953363287285
27,Status.InterDis,3.4200201312817704,2.2970210594196976
28,Status.InterDis,1.0862873659985774,-5.123134724868349
29,Status.InterDis,3.74143365779713,2.962347365046104
30,Status.InterDis,1.6179398377973937,6.608667233707334
31,Status.InterDis,1.4010891471950917,-5.486589888850634
32,Status.InterDis,2.862477665783616,4.329033996168459
33,Status.InterDis,2.5486840407917777,-3.6587043832816697
34,Status.InterDis,4.04585951991742,2.1798002619114865
35,Status.InterDis,0.004973040993512567,3.949239258334648
36,Status.InterDis,2.321334290088339,3.3925881893277343
37,Status.InterDis,1.8387707385857304,3.0777243926991638
38,Status.InterDis,3.435370170216848,3.4922079312862007
39,Status.Dev,3.2100006873394533,2.364545606177075
40,Status.Hold,6.3783871499090266,-13.859007252151358
41,Status.Dev,6.014535393561148,-0.03074580849720354
42,Status.Hold,4.260276097776575,0.8645477364234392
43,Status.Dev,4.084624487346598,1.4597571099573556
44,Status.Dev,0.4179523079094507,-4.1237561595198695
45,Status.Dev,4.4580327631349235,-0.8055039024099419
46,Status.Dev,9.168248128925978,9.431427835817336
47,Status.Dev,2.492344216600265,2.7908888875110542
48,Status.Dev,4.7802098322596525,0.5680833194140426
49,Status.Dev,4.912324102997199,-0.7623812994780775
50,Status.Dev,2.2561390439123805,-4.932352018018752
51,Status.Dev,1.3881670241521962,-3.8626343165037182
52,Status.Dev,0.29846539408329076,4.629997597285601
53,Status.Dev,4.244031633315728,1.1333649786075668
54,Status.Dev,1.4160899610415107,-4.240314915580642
55,Status.Dev,4.885225510271999,-0.21540920407371747
56,Status.Dev,3.510662281641399,3.02603047134393
57,Status.Dev,3.938583319321688,2.7442155525803438
58,Status.Dev,4.837780602733973,-1.4725600935965342
59,Status.Dev,4.541683021933871,-0.6166583378407202
60,Status.Dev,1.6876351622492665,3.2059304443357757
61,Status.Dev,3.238597765643886,-2.668015563266021
62,Status.Dev,4.3769900876167,-0.5306788875657027
63,Status.Dev,0.8051268464469973,-5.12663497774748
64,Status.Dev,1.261705945431309,-3.0340472741312
65,Status.Dev,1.2547731118051888,-4.86417606216889
66,Status.Dev,1.0357938400140414,4.967863572700038
67,Status.Dev,2.335137890720468,3.784745913967283
68,Status.Dev,0.7530181502887988,-4.1766461411898055
69,Status.Dev,3.0806583234475298,3.6789380467939403
70,Status.Dev,2.7142571482525324,-4.0332252860526125
71,Status.Dev,2.100467799018927,3.9244451425098155
72,Status.Dev,3.5074329231208767,-3.7868970901774577
73,Status.Dev,5.4393036833428345,-1.7603565255895635
74,Status.Dev,5.304523297039204,-0.20709507725305767
75,Status.Dev,3.056888320775235,-3.4342402485328263
76,Status.Dev,3.5900610539281006,2.40645450824795
77,Status.Dev,3.487170305697547,-4.651010332863799
78,Status.Dev,0.6903125357703859,-6.139512988976146
79,Status.Dev,4.636806240410676,0.08195831514342942
80,Status.Dev,4.351541127232922,-2.273227160791734
81,Status.Dev,4.817084183207063,0.7493746745957073
82,Status.Dev,3.4048490508569405,6.52225742487397
83,Status.Dev,1.8909710726586613,4.083627878543667
84,Status.Dev,1.2656104984495296,-5.075995075144689
85,Status.Dev,1.5058698384481755,5.446458951884454
86,Status.Dev,4.955921926667779,-1.8412974556468749
87,Status.Dev,4.512412399877328,2.570391881208562
88,Status.Dev,4.955100883796477,-0.016433076357601304
89,Status.Dev,2.1829033664559794,3.736924432392907
90,Status.Dev,3.798623952292732,-2.3772334588585395
91,Status.Dev,0.12831792618637616,-5.206836878000586
92,Status.Dev,1.2959895253005274,4.611606317698147
93,Status.Dev,0.1433649697052814,4.553723808089051
94,Status.Dev,0.30316524067344697,-3.8505448117367944
95,Status.Dev,5.20313277996191,2.8328291746162306
96,Status.Dev,0.38295575398355886,3.5905250631607277
97,Status.Dev,3.252951553296449,-2.8963210900747294
98,Status.Dev,2.9022922710741974,2.8221512916312
99,Status.Dev,4.364160660987718,3.4511755536332447
100,Status.Dev,2.8743300616233336,2.981954477707372
101,Status.Dev,4.249279042413503,2.8008018461512627
102,Status.Dev,2.8792686457163117,1.6621284491470343
103,Status.Dev,3.2350554986451687,-2.355685861153279
104,Status.Dev,2.31690135134667,-3.789284912820482
105,Status.Dev,1.9421754439912313,-3.3047291010725415
106,Status.Dev,4.232631562318478,-1.77828174843255
107,Status.Dev,0.5650351092519844,-5.660284682532607
108,Status.Dev,3.809802807325972,2.5267345420540273
109,Status.Dev,1.7843280326133864,3.6363835389249544
110,Status.Dev,1.241307337166219,4.975397950028734
111,Status.Dev,0.9975892895806757,-3.5915695980378524
112,Status.Dev,2.7806685032196845,2.1913553544919586
113,Status.Dev,5.038698900944956,-2.0767416389049886
114,Status.Dev,2.91564379566602,-3.252642531100817
115,Status.Dev,4.021902812094357,2.001337910690691
116,Status.Dev,3.1043304557533418,-3.84250556742606
117,Status.Dev,4.070449503232209,1.7603569718857213
118,Status.Dev,3.2339821224220904,-3.3784843919160608
119,Status.Dev,2.955651239240831,2.6011731288491653
120,Status.Dev,3.1879480712286354,4.218815786539568
121,Status.Dev,4.796748614409789,0.9000293966949923
122,Status.Dev,1.47823885177367,-8.517322456171616
123,Status.Dev,2.7655547624666457,3.7285384190520294
124,Status.Dev,4.345938955426951,-4.68464633167141
125,Status.Dev,2.5864532572596177,4.4567280853097015
126,Status.Dev,3.804780913489134,-4.234890597941918
127,Status.Dev,2.3130625973757293,2.9015526393680013
128,Status.Dev,4.97958113640581,-2.537731105610398
129,Status.Dev,1.801803897210975,-2.7718372017459187
130,Status.Dev,0.6962442559026524,4.484905588675539
131,Status.Dev,3.480380798723226,-2.3861853926675125
132,Status.Dev,3.4850259709724494,-4.301563486728037
133,Status.Dev,2.6201658777928993,-3.042583280071639
134,Status.Dev,3.6009073758678967,-1.341849569752094
135,Status.Dev,2.821838191862525,-9.315055487911613
136,Status.Dev,2.1051885789949103,-3.6021726308584694
